Municipality,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Acton,2115,2117,2118,2120,2122,2123,2125,2126,2128,2130,2131,2133,2134,2136,2139,2141,2144,2146,2149,2152,2154,2157,2159,2162,2194,2226,2258,2290,2322,2354,2386,2418,2450,2482,2504,2526,2548,2570,2592,2613,2635,2657,2679,2701,2782,2863,2944,3025,3106,3186,3267,3348,3429,3510,3883,4256,4628,5001,5374,5747,6120,6492,6865,7238,7991,8744,9498,10251,11004,11757,12510,13264,14017,14770,15047,15325,15602,15880,16157,16434,16712,16989,17267,17544,17577,17610,17642,17675,17708,17741,17774,17806,17839,17872,18118,18364,18610,18856,19102,19347,19593,19839,20085,20331,20490,20650,20809,20968,21128,21287,21446,21605,21765,21924,22134,22343,22553,22763,22972,23182,23392,23602,23811,24021,24024,24026,24029,24539,25049
Arlington,4452,5178,5904,6629,7354,8080,8806,9531,10256,10982,11708,12433,13158,13884,14362,14840,15318,15796,16274,16753,17231,17709,18187,18665,20408,22151,23894,25637,27380,29122,30865,32608,34351,36094,36486,36878,37270,37662,38054,38445,38837,39229,39621,40013,40447,40881,41315,41749,42183,42617,43051,43485,43919,44353,44913,45473,46033,46593,47153,47713,48273,48833,49393,49953,50310,50667,51024,51381,51738,52096,52453,52810,53167,53524,52994,52463,51932,51402,50872,50341,49810,49280,48750,48219,47860,47501,47142,46783,46424,46066,45707,45348,44989,44630,44406,44182,43958,43734,43510,43285,43061,42837,42613,42389,42434,42480,42526,42571,42616,42662,42708,42753,42798,42844,43190,43537,43883,44230,44576,44922,45269,45615,45962,46308,46242,46177,46111,47112,48113
Ashland,1478,1494,1509,1525,1541,1556,1572,1588,1604,1619,1635,1651,1666,1682,1742,1803,1864,1924,1984,2045,2106,2166,2226,2287,2298,2309,2320,2331,2342,2353,2364,2375,2386,2397,2405,2413,2422,2430,2438,2446,2454,2463,2471,2479,2581,2683,2785,2887,2990,3092,3194,3296,3398,3500,3928,4356,4784,5212,5640,6067,6495,6923,7351,7779,7889,8000,8110,8220,8330,8441,8551,8661,8772,8882,8910,8939,8967,8995,9024,9052,9080,9108,9137,9165,9455,9745,10035,10325,10616,10906,11196,11486,11776,12066,12327,12588,12848,13109,13370,13631,13892,14152,14413,14674,14866,15058,15250,15442,15634,15825,16017,16209,16401,16593,16817,17041,17265,17489,17712,17936,18160,18384,18608,18832,18752,18671,18591,19391,20191
Bedford,1201,1203,1206,1208,1210,1213,1215,1217,1220,1222,1224,1226,1229,1231,1244,1257,1270,1283,1296,1310,1323,1336,1349,1362,1486,1610,1734,1858,1982,2107,2231,2355,2479,2603,2723,2844,2964,3085,3205,3325,3446,3566,3687,3807,3950,4092,4235,4378,4520,4663,4806,4949,5091,5234,5808,6381,6954,7528,8102,8675,9248,9822,10396,10969,11223,11478,11732,11987,12241,12495,12750,13004,13259,13513,13468,13424,13379,13335,13290,13245,13201,13156,13112,13067,13060,13053,13046,13039,13032,13024,13017,13010,13003,12996,12956,12916,12876,12836,12796,12755,12715,12675,12635,12595,12668,12740,12812,12885,12958,13030,13102,13175,13248,13320,13426,13533,13639,13745,13852,13958,14064,14170,14277,14383,14387,14390,14394,14955,15516
Bellingham,1858,1799,1741,1682,1623,1565,1506,1448,1389,1330,1272,1213,1155,1096,1197,1297,1398,1498,1599,1700,1800,1901,2001,2102,2211,2319,2428,2537,2646,2754,2863,2972,3080,3189,3168,3147,3126,3105,3084,3063,3042,3021,3000,2979,3091,3203,3315,3427,3540,3652,3764,3876,3988,4100,4367,4635,4902,5170,5437,5704,5972,6239,6507,6774,7493,8213,8932,9651,10370,11090,11809,12528,13248,13967,14000,14034,14067,14100,14134,14167,14200,14233,14267,14300,14358,14415,14473,14531,14588,14646,14704,14762,14819,14877,14921,14964,15008,15052,15096,15139,15183,15227,15270,15314,15416,15518,15619,15721,15823,15925,16027,16128,16230,16332,16393,16455,16516,16577,16638,16700,16761,16822,16884,16945,17149,17352,17556,17998,18440
Belmont,3445,3606,3768,3929,4090,4252,4413,4574,4736,4897,5058,5219,5381,5542,6063,6583,7104,7625,8146,8666,9187,9708,10228,10749,11849,12949,14049,15149,16248,17348,18448,19548,20648,21748,22260,22772,23284,23796,24308,24819,25331,25843,26355,26867,26918,26970,27021,27073,27124,27175,27227,27278,27330,27381,27514,27648,27781,27915,28048,28181,28315,28448,28582,28715,28672,28629,28586,28543,28500,28457,28414,28371,28328,28285,28066,27848,27630,27411,27192,26974,26756,26537,26318,26100,25962,25824,25686,25548,25410,25272,25134,24996,24858,24720,24667,24615,24562,24510,24457,24404,24352,24299,24247,24194,24248,24301,24354,24408,24462,24515,24568,24622,24676,24729,24986,25242,25499,25755,26012,26269,26525,26782,27038,27295,27159,27022,26886,27442,27998
Beverly,12450,12928,13406,13884,14362,14840,15318,15796,16274,16753,17231,17709,18187,18665,19055,19444,19834,20223,20613,21003,21392,21782,22171,22561,22814,23066,23318,23571,23824,24076,24328,24581,24834,25086,25131,25176,25221,25266,25312,25357,25402,25447,25492,25537,25872,26206,26541,26876,27210,27545,27880,28215,28549,28884,29606,30329,31051,31774,32496,33218,33941,34663,35386,36108,36332,36556,36780,37004,37228,37452,37676,37900,38124,38348,38279,38209,38140,38071,38002,37932,37863,37794,37724,37655,37709,37763,37817,37871,37925,37979,38033,38087,38141,38195,38362,38528,38695,38862,39028,39195,39362,39529,39695,39862,39826,39790,39754,39718,39682,39646,39610,39574,39538,39502,39819,40136,40452,40769,41086,41403,41720,42036,42353,42670,42553,42435,42318,43223,44128
Bolton,772,771,771,770,769,769,768,768,767,766,766,765,765,764,758,753,747,742,736,730,725,719,714,708,714,719,725,730,736,742,747,753,758,764,765,766,767,768,770,771,772,773,774,775,793,811,829,847,866,884,902,920,938,956,987,1018,1048,1079,1110,1141,1172,1202,1233,1264,1328,1392,1456,1520,1584,1649,1713,1777,1841,1905,1968,2030,2092,2155,2218,2280,2342,2405,2468,2530,2590,2651,2711,2772,2832,2892,2953,3013,3074,3134,3235,3337,3438,3540,3641,3742,3844,3945,4047,4148,4223,4298,4373,4448,4522,4597,4672,4747,4822,4897,4974,5051,5127,5204,5281,5358,5435,5511,5588,5665,5689,5714,5738,5809,5880
Boston,527984,538953,549923,560892,571861,582831,593800,604769,615738,626708,637677,648646,659616,670585,678332,686080,693828,701575,709322,717070,724818,732565,740312,748060,751373,754686,757998,761311,764624,767937,771250,774562,777875,781188,780151,779114,778076,777039,776002,774965,773928,772890,771853,770816,773879,776942,780004,783067,786130,789193,792256,795318,798381,801444,791019,780595,770170,759745,749320,738896,728471,718046,707622,697197,691584,685972,680359,674747,669134,663521,657909,652296,646684,641071,633263,625456,617648,609840,602032,594225,586417,578609,570802,562994,564123,565252,566381,567510,568638,569767,570896,572025,573154,574283,575769,577255,578741,580227,581713,583199,584685,586171,587657,589143,591988,594833,597678,600523,603368,606214,609059,611904,614749,617594,623399,629205,635010,640815,646620,652426,658231,664036,669842,675647,668376,661104,653833,673458,693083
Boxborough,316,316,316,316,316,316,316,316,316,317,317,317,317,317,315,313,311,309,308,306,304,302,300,298,299,301,302,304,305,306,308,309,311,312,318,325,331,338,344,350,357,363,370,376,382,389,395,401,408,414,420,426,433,439,470,500,530,561,592,622,652,683,714,744,815,885,956,1027,1098,1168,1239,1310,1380,1451,1618,1786,1954,2121,2288,2456,2624,2791,2958,3126,3148,3169,3191,3213,3234,3256,3278,3300,3321,3343,3496,3648,3800,3953,4106,4258,4410,4563,4716,4868,4881,4894,4906,4919,4932,4945,4958,4970,4983,4996,5047,5098,5149,5200,5251,5302,5353,5404,5455,5506,5488,5469,5451,5565,5679
