Municipality,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,est_2023,est_2024
Acton,2120,2136,2162,2482,2701,3510,7238,14770,17544,17872,20331,21924,24021,24029,24539
Arlington,6629,13884,18665,36094,40013,44353,49953,53524,48219,44630,42389,42844,46308,46111,47112
Ashland,1525,1682,2287,2397,2479,3500,7779,8882,9165,12066,14674,16593,18832,18591,19391
Bedford,1208,1231,1362,2603,3807,5234,10969,13513,13067,12996,12595,13320,14383,14394,14955
Bellingham,1682,1096,2102,3189,2979,4100,6774,13967,14300,14877,15314,16332,16945,17556,17998
Belmont,3929,5542,10749,21748,26867,27381,28715,28285,26100,24720,24194,24729,27295,26886,27442
Beverly,13884,18665,22561,25086,25537,28884,36108,38348,37655,38195,39862,39502,42670,42318,43223
Bolton,770,764,708,764,775,956,1264,1905,2530,3134,4148,4897,5665,5738,5809
Boston,560892,670585,748060,781188,770816,801444,697197,641071,562994,574283,589143,617594,675647,653833,673458
Boxborough,316,317,298,312,376,439,744,1451,3126,3343,4868,4996,5506,5451,5565
Braintree,7439,10580,15942,15712,16378,23161,31069,35050,36337,33836,33828,35744,39143,38490,39134
Brookline,19935,27792,37748,47490,49786,57589,54044,58886,55062,54718,57105,58732,63191,62962,63925
Burlington,593,591,885,1722,2275,3250,12852,21980,23486,23302,22876,24498,26377,26527,26977
Cambridge,91886,104839,109694,113643,110879,120740,107716,100361,95322,95802,101355,105162,118403,118214,121186
Canton,4584,4797,5945,5816,6381,7465,12771,17100,18182,18530,20775,21561,24370,24635,25163
Carlisle,480,551,463,569,747,876,1488,2871,3306,4333,4717,4852,5237,5192,5317
Chelsea,31072,32452,43184,45816,41259,38912,33749,30625,25431,28710,35080,35177,40787,38319,40245
Cohasset,2759,2585,2639,3083,3111,3731,5840,6954,7174,7075,7261,7542,8381,8392,8532
Concord,5919,6421,6401,7477,7972,8623,12517,16148,16293,17076,16993,17668,18491,18086,18092
Danvers,8542,9407,11108,12957,14179,15720,21926,26151,24100,24174,24996,26493,28087,27896,28590
Dedham,7457,9284,10782,15136,15508,18487,23869,26938,25298,23782,23464,24729,25364,24968,25485
Dover,656,798,867,1195,1374,1722,2846,4529,4703,4915,5558,5589,5923,5864,6057
Duxbury,2075,1688,1553,1696,2359,3167,4727,7636,11807,13895,14248,15059,16090,16185,16377
Essex,1663,1621,1478,1465,1384,1794,2238,2670,2998,3260,3267,3504,3675,3694,3760
Everett,24336,33484,40120,48424,46784,45982,43544,42485,37195,35701,38037,41667,49075,50318,51825
Foxborough,3266,3863,4136,5347,6303,7030,10136,14218,14148,14637,16246,16865,18618,18484,18791
Framingham,11561,14948,17033,22210,23214,28086,44526,64048,65113,64989,66910,68318,72362,71875,73361
Franklin,5017,5641,6497,7028,7303,8037,10530,17830,18217,22095,29560,31635,33261,33125,33742
Gloucester,26121,24398,22647,24204,24046,25167,25789,27941,27768,28716,30273,28789,29729,29959,30491
Hamilton,1614,1749,1631,2044,2037,2764,5488,6373,6960,7280,8315,7764,7561,7586,7670
Hanover,2152,2326,2575,2808,2875,3389,5923,10107,11358,11912,13164,13879,14833,14753,14887
Hingham,5059,4965,5604,6657,8003,10665,15378,18845,20339,19821,19882,22157,24284,24189,24414
Holbrook,2229,2810,3141,3353,3330,4004,10104,11775,11140,11041,10785,10791,11405,11284,11475
Holliston,2598,2711,2101,2864,3000,3753,6222,12069,12622,12926,13801,13547,14996,15015,15347
Hopkinton,2623,2452,2289,2563,2697,3486,4932,5981,7114,9191,13346,14925,18758,19540,19971
Hudson,5454,6743,7607,8469,8042,8211,9666,16084,16408,17233,18113,19063,20092,19904,20364
Hull,1703,2103,1771,2047,2167,3379,7055,9961,9714,10466,11050,10293,10072,10108,10278
Ipswich,4988,5777,6201,5599,6348,6895,8544,10750,11158,11873,12987,13175,13785,13903,14110
Lexington,3831,4018,6350,9467,13187,17335,27691,31886,29479,28974,30355,31394,34454,33882,34743
Lincoln,1127,1175,1042,1493,1783,2427,5613,7567,7098,7666,8056,6362,7014,6889,6996
Littleton,1179,1224,1277,1447,1651,2349,5109,6380,6970,7051,8184,8924,10141,10251,10495
Lynn,68513,89336,99148,102320,98123,99738,94478,90294,78471,81245,89050,90329,101253,101241,103489
Lynnfield,888,911,1145,1594,2287,3927,8398,10826,11267,11274,11542,11596,13000,13034,13230
Malden,33661,44404,49103,58036,58010,59804,57676,56127,53386,53884,56345,59450,66263,65133,66693
Manchester,2522,2673,2466,2636,2472,2868,3932,5151,5424,5286,5228,5136,5395,5396,5467
Marblehead,7682,7338,7324,8668,10856,13765,18521,21295,20126,19971,20377,19808,20441,20296,20576
Marlborough,13349,14579,15535,15587,15154,15756,18819,27936,30617,31813,36255,38499,41793,41179,42169
Marshfield,1810,1788,1379,1625,2419,3267,6748,15223,20916,21531,24324,25132,25825,25765,26043
Maynard,13009,14579,15028,7156,6812,6978,7695,9710,9590,10325,10433,10106,10746,10604,10820
Medfield,2926,3466,3595,4066,4384,4549,6021,9821,10220,10531,12273,12024,12799,13088,13334
Medford,18244,23160,39038,59714,63083,66113,64971,64397,58076,57407,55638,56173,59659,58744,59898
Medway,2761,2696,2956,3153,3297,3744,5168,7938,8447,9931,12448,12752,13115,13560,13836
Melrose,12962,15715,18204,23170,25333,26988,29619,33180,30055,28150,27134,26983,29817,29357,29938
Middleton,839,1129,1165,1712,2348,2916,3718,4044,4135,4921,7744,8987,9779,9849,9959
Milford,11376,13055,13471,14741,15388,15442,15749,19352,23390,25355,26720,27999,30379,30257,30640
Millis,1053,1390,1485,1738,2278,2551,4374,5686,6908,7613,7902,7891,8460,9018,9338
